Name,timestamp,compressed,uncompressed
vm-1,"May 19, 2025, 09:36:50 PM","27,149.80","56,570.84"
vm-1,"May 19, 2025, 09:41:50 PM","55,323.15","112,158.58"
vm-1,"May 19, 2025, 09:46:50 PM","88,933.66","177,384.75"
vm-1,"May 19, 2025, 09:51:50 PM","120,816.45","238,237.27"
vm-1,"May 19, 2025, 09:56:50 PM","150,975.07","297,909.32"
vm-1,"May 19, 2025, 10:01:50 PM","182,418.18","361,324.76"
vm-1,"May 19, 2025, 10:06:50 PM","213,003.45","425,014.72"
vm-1,"May 19, 2025, 10:11:50 PM","241,382.73","481,299.64"
vm-1,"May 19, 2025, 10:16:50 PM","269,323.87","536,462.81"
vm-1,"May 19, 2025, 10:21:50 PM","300,510.88","595,635.42"
vm-1,"May 19, 2025, 10:26:50 PM","331,979.85","654,718.37"
vm-1,"May 19, 2025, 10:31:50 PM","363,101.35","714,322.66"
vm-1,"May 19, 2025, 10:36:50 PM","396,920.50","777,071.57"
vm-1,"May 19, 2025, 10:41:50 PM","430,575.91","839,151.95"
vm-1,"May 19, 2025, 10:46:50 PM","464,884.26","904,961.93"
vm-1,"May 19, 2025, 10:51:50 PM","493,170.27","960,142.95"
vm-1,"May 19, 2025, 10:56:50 PM","523,887.56","1,018,974.40"
vm-1,"May 19, 2025, 11:01:50 PM","553,565.20","1,077,046.03"
vm-1,"May 19, 2025, 11:06:50 PM","585,331.49","1,141,386.10"
vm-1,"May 19, 2025, 11:11:50 PM","614,872.67","1,198,369.98"
vm-1,"May 19, 2025, 11:16:50 PM","642,939.23","1,254,652.49"
vm-1,"May 19, 2025, 11:21:50 PM","672,057.42","1,314,035.85"
vm-1,"May 19, 2025, 11:26:50 PM","701,606.17","1,373,098.43"
vm-1,"May 19, 2025, 11:31:50 PM","731,207.52","1,430,440.97"
vm-1,"May 19, 2025, 11:36:50 PM","759,170.73","1,487,438.65"
vm-1,"May 19, 2025, 11:41:50 PM","791,752.62","1,552,517.83"
vm-1,"May 19, 2025, 11:46:50 PM","822,568.91","1,611,835.40"
vm-1,"May 19, 2025, 11:51:50 PM","856,884.78","1,676,171.59"
vm-1,"May 19, 2025, 11:56:50 PM","887,571.47","1,736,775.50"
vm-1,"May 20, 2025, 12:01:50 AM","914,859.74","1,791,382.56"
vm-1,"May 20, 2025, 12:06:50 AM","946,955.70","1,857,373.95"
vm-1,"May 20, 2025, 12:11:50 AM","977,731.62","1,921,406.28"
vm-1,"May 20, 2025, 12:16:50 AM","1,009,544.46","1,987,034.23"
vm-1,"May 20, 2025, 12:21:50 AM","1,040,126.76","2,052,150.64"
vm-1,"May 20, 2025, 12:26:50 AM","1,071,154.84","2,116,334.98"
vm-1,"May 20, 2025, 12:31:50 AM","1,098,371.86","2,172,330.72"
vm-1,"May 20, 2025, 12:36:50 AM","1,126,868.58","2,232,158.41"
vm-1,"May 20, 2025, 12:41:50 AM","1,153,920.80","2,288,723.38"
vm-1,"May 20, 2025, 12:46:50 AM","1,181,548.18","2,347,535.86"
vm-1,"May 20, 2025, 12:51:50 AM","1,207,547.18","2,402,239.49"
vm-1,"May 20, 2025, 12:56:50 AM","1,235,299.25","2,460,787.16"
vm-1,"May 20, 2025, 01:01:50 AM","1,268,293.31","2,526,610.87"
vm-1,"May 20, 2025, 01:06:50 AM","1,297,654.77","2,583,793.31"
vm-1,"May 20, 2025, 01:11:50 AM","1,330,588.22","2,647,202.15"
vm-1,"May 20, 2025, 01:16:50 AM","1,362,349.11","2,706,662.25"
vm-1,"May 20, 2025, 01:21:50 AM","1,394,069.79","2,765,738.34"
vm-1,"May 20, 2025, 01:26:50 AM","1,429,819.35","2,831,226.16"
vm-1,"May 20, 2025, 01:31:50 AM","1,465,613.75","2,897,171.23"
vm-1,"May 20, 2025, 01:36:50 AM","1,790,188.09","3,518,424.04"
